,C_4,C_5,C_6,C_8,C_10,C_11,C_14,C_31,C_32,C_35,C_44,C_47,C_53,C_59,C_60,C_62,C_63,C_66,C_67,C_68,C_69,C_70,C_81,C_89,C_101,C_105,C_116,C_118,C_119,C_122,C_125,C_128,C_129,C_130,C_133,C_134,C_135,C_137,C_144,C_149,C_151,C_152,C_157,C_164,C_166,C_169,C_170,C_177,C_180,C_182,C_184,C_185,C_186,C_197,C_199,C_206,C_208,C_209,C_211,C_215,C_217,C_220,C_230,C_235,C_247,C_253,C_258,C_259,C_263,C_265,C_269,C_278,C_287,C_290,C_296,C_297,C_304,C_305,C_307,C_311,C_313,C_314,C_317,C_319,C_320,C_322,C_335,C_336,C_338,C_340,C_346,feq
prob of change,1.0,0.0,2.068876846604494e-05,6.649365131947339e-05,0.00031340545682623314,0.0013294238552038525,0.11386793556459733,0.9418379941227928,0.007734129384720374,0.016296399819957334,0.040099924110025637,0.012944703369728609,0.027511448960318846,0.029649301108829663,0.004060648096600404,0.006861096391133289,0.003172625269035556,0.009094251801225821,0.002961698339303859,0.0029095517827904833,0.002906902035112171,0.0030039658252299832,0.03342677700198759,0.023504242428339685,0.03401573276488786,0.011196530922218407,0.029971398674469008,0.005495662511084124,0.002759112969408716,0.00812385197085596,0.008214555352928959,0.008482910489548254,0.0029453343715281823,0.003048251268612649,0.009317848817191846,0.0033677337725904533,0.003481721157766713,0.0076402701943435744,0.030007886139600752,0.02597465614742431,0.011446356595322858,0.005645805033708734,0.032642658221911654,0.052429447110530235,0.00999356614813517,0.017808410544887226,0.003907340584292523,0.022590946449956253,0.010584559216920376,0.009680406121834705,0.007443959463617372,0.00398700529352292,0.0036944675564772288,0.037276886206424165,0.006712059534781327,0.02205940087235995,0.007868401118430518,0.0035230449127090437,0.006323078051436841,0.012151766130649841,0.005846852513359251,0.008822830913141061,0.029805859140406375,0.015559607833842217,0.03740024780912576,0.019709646258087417,0.01731689941009529,0.003901410136091083,0.01697583536003344,0.009510877733334684,0.02310226741127864,0.06795953663791736,0.05612838261209007,0.013328089023803924,0.02397259559834928,0.00398594783530718,0.028658466586803922,0.004488836404559475,0.010927527798820532,0.017430255146448265,0.010308487167900263,0.006399127825649905,0.019300911135692957,0.016105591424238796,0.008381665731308292,0.022646199113761697,0.19929833314445358,0.013233983476192536,0.011862466458076343,0.010768605931525878,0.038441443206647594,0.0
prob of response,0.2777432224190678,0.2777460352658824,0.277745919807858,0.2777419373125242,0.2777054774943648,0.27748204934523335,0.24898940376454573,0.014617038050723414,0.01439839941463766,0.014206691730550858,0.014046352355908308,0.013960955898755225,0.013685399042174966,0.013333883153797375,0.013300210438691213,0.013266458385426862,0.01325734446210463,0.013253800063890897,0.013252384334436002,0.013250153235292716,0.01324696239333028,0.013241005544149528,0.013131908416610667,0.013074454088235342,0.01300168238275793,0.012998234924877448,0.012986548462282945,0.012985746084762604,0.012981467263109375,0.01298348818755172,0.012992376987988446,0.013010470514066503,0.013018970125115789,0.013029682547161614,0.013063490430931538,0.01307884125485399,0.013095791849936889,0.0131411483959454,0.013349225668010277,0.01356169384534454,0.013662835589037107,0.01371372227214316,0.014063916266783171,0.014706018303480107,0.014780229686146925,0.014992421152970385,0.015015502388237548,0.01503154203154841,0.01511204829382068,0.014938066194844063,0.014862045784904587,0.014819890784537807,0.014789970025186859,0.014533483895702344,0.014492310797487121,0.01438454366311364,0.014318229692878517,0.014296255247025243,0.014270880667604189,0.014234814841900208,0.014228992653498942,0.014230263039406154,0.014297045576550297,0.014292259149165147,0.014331444309706013,0.014379107246271623,0.014439591331339107,0.014461785348047798,0.014578305299716043,0.014654010886517917,0.014889885609630314,0.0157726736359384,0.01636383830730299,0.016415420352345163,0.01647608032263348,0.01649010368197546,0.016646247442859544,0.016678144625484784,0.01679234809374852,0.016905353108654923,0.017003189949814947,0.017083174798513786,0.017329099841530773,0.01758087439204819,0.0177182373411807,0.01819462998215944,0.023852601591705828,0.023136347780940928,0.0229717976494892,0.023005620532367543,0.02364864003590998,0.0
26967248,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,333.0
26967340,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
26967452,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
26967472,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
26967591,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
26967853,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0
26967902,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
26967928,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
